id,plot_no,village_code,section_code,division_code,factory_code,boundary,centroid,gps_area_acres,latitude,longitude,officer_id,is_active,created_at,updated_at,is_mapped
00b9225c-ddbd-47a2-90e8-8b739d17aa06,8000799343,MDP-KANJANUR-KANJANUR-KORALUR,MDP-KANJANUR-KANJANUR,MDP-KANJANUR,MDP,0103000020E61000000100000005000000A8058AB3FDDC53404914B58F7025284063FB7F8B04DD53409635FB4D722528406A34B91803DD53400E49D2DAD92428407825C973FDDC5340270DDA50D6242840A8058AB3FDDC53404914B58F70252840,0101000020E61000002A8565B400DD5340B1928B3C27252840,1.324,,,,true,2026-07-01 04:57:35.096354+00,2026-07-01 04:57:35.328792+00,true
01858368-bcc7-4063-8e46-a9eb262a8853,8000789562,SMD-AVOOR-VETTAVALAM-CHINNAOLAIPA,SMD-AVOOR-VETTAVALAM,SMD-AVOOR,SMD,0103000020E6100000010000000E00000052B417763DCD5340992D5915E1362840BC4DC9833ECD5340E76388ADEA362840F1FB92E840CD534016FC917DEB362840D7DB662A44CD534074379902E336284092DFEC2040CD5340A465EE6B6E362840C4B05E783BCD534007EBB3FC8336284017DCCBAD39CD534055F32D4C8B362840D8EBBF3F3CCD53406C608178BE36284074C4D16A3DCD5340EDF1CF34BA362840A49531F43ECD53402DA4B217C0362840922A40CA3ECD53407C17A53AD33628400A4735913ECD5340EA5E82AED8362840E659492B3ECD53402A0E5652DD36284052B417763DCD5340992D5915E1362840,0101000020E61000007E1B33413FCD534087603896AE362840,0.939,,,,true,2026-07-01 04:52:25.587819+00,2026-07-01 04:52:25.91548+00,true
0216c6e5-7a07-4463-848a-7bf0c8186c99,8000790905,MDP-KEDAR-KEDARNORTH-MELVENGAMUR,MDP-KEDAR-KEDARNORTH,MDP-KEDAR,MDP,0103000020E6100000010000001E00000050DE6C182AD7534092031B7C061D2840FDFC529A28D7534037983C54091D2840930A197E26D75340EBBEAD05071D284040F850A225D75340A9CF1FE4061D28405F76F46423D753401A9F6E45071D28402A66CE4422D7534049EFC0A5081D284078BEFAD321D75340CA8D226B0D1D284024A996BE21D753403B527DE7171D28407EDD8E1521D75340C8B60C384B1D28403673486A21D75340A5D535FF541D2840D725F44421D753406DB0CB4B591D28403FB8F1DD1CD75340668BFF965B1D284086AF0A2F1CD75340FAA0C26C5D1D28402D67A5FF1BD7534063D8BC056D1D2840D4916D2A1CD753401589AEB0851D2840C8CCAA741CD7534087B2A6689B1D2840B65E1D111DD753407885F4CAAB1D2840D14E177321D75340C5EEF1F8AC1D28402E73BA2C26D75340D2D0F533AB1D28408D7BF31B26D75340792E4267881D2840C9096EFF25D7534002F566D47C1D284058F2672E26D753404A5C6CFF6F1D2840FEC00B1126D753401772B6CA5D1D2840F196506628D75340305E98F15B1D2840385783E629D75340FAE879DC5C1D28405BA093942AD75340407562C55F1D28403EE6A8482AD75340C6843D92371D2840D97C5C1B2AD75340BE30992A181D28409DC0CF132AD753408E5BCCCF0D1D284050DE6C182AD7534092031B7C061D2840,0101000020E6100000289A157523D75340D8F0AC765C1D2840,2.135,,,,true,2026-07-01 04:52:20.803126+00,2026-07-01 04:52:21.013997+00,true
0312751c-dfa0-45a0-bdba-df79ade696fd,8000786498,SMD-GINGEESOUTH-THIRUVAMPATT-KIZHPAPAMPAD,SMD-GINGEESOUTH-THIRUVAMPATT,SMD-GINGEESOUTH,SMD,0103000020E6100000010000000600000080EF366F9CDF534077B581E096642840AB8B25F69ADF5340A542869F49642840C77B7A1192DF5340CEAACFD55664284007B5DFDA89DF53408B70935165642840F4B6E3978BDF5340D80C7041B664284080EF366F9CDF534077B581E096642840,0101000020E6100000104FC42193DF534080EF7FC87E642840,1.939,,,,true,2026-07-01 04:50:57.907712+00,2026-07-01 04:50:58.122784+00,true
046e3730-74df-4bfa-89d8-a0805e7ef350,8000799288,SMD-AVOOR-AVOOR-KOODALUR,SMD-AVOOR-AVOOR,SMD-AVOOR,SMD,0103000020E61000000100000008000000AF9BAD171ECD534084AC5DC9444C2840CCDC32961FCD53408BB84AC1644C2840D1AA3BBB21CD5340E9F351465C4C2840E798E26025CD5340999D45EF544C2840BC2D477E33CD5340907C6F1D2D4C284046D26EF431CD5340054AAF720D4C28408427994121CD5340ED61D45A3D4C2840AF9BAD171ECD534084AC5DC9444C2840,0101000020E6100000787E9BE628CD5340CB9734F4384C2840,0.969,,,,true,2026-07-01 04:58:46.759945+00,2026-07-01 04:58:46.968399+00,true
0493dcaa-1bf0-44a0-be74-62761e0c6dab,8000800755,MDP-VILLUPURAM-KANAINORHT-NATHAMEDU,MDP-VILLUPURAM-KANAINORHT,MDP-VILLUPURAM,MDP,0103000020E6100000010000002500000011F05AF8B0D65340ED37C9456BDB274051A80249B3D65340941799805FDB274062B433F1B3D653404E1B1F775BDB2740689CE161B5D65340C2024EA555DB2740E0032AD2B3D65340C263E4D132DB2740AA0A0DC4B2D653403B83D08B24DB2740D5A35F11B2D65340D965AEC21CDB27400B47904AB1D653404BA8853710DB2740ED1978A4B0D65340562DE92807DB274053758F6CAED65340F12DAC1BEFDA2740B5E8F8C3AAD6534001625CBBFEDA2740271D401AA9D653406121CE1EC3DA2740B17FE893A6D65340A8CD93C6C3DA2740599C7B59A4D65340DBBA40EEC7DA2740ED2D4036A4D653403883BF5FCCDA27408F705AF0A2D65340AB67F79AD4DA27407862D68BA1D6534050FC1873D7DA27402B6C06B8A0D65340DE0CED52D9DA27404F458545A0D653402181F56EE2DA27405FECBDF8A2D6534025DA9FD513DB27404188BF81A4D65340D9D53FE31DDB2740AC973A23A5D65340B5D48BEB29DB2740872E4DB6A6D65340C6D56DF541DB2740EF6D9FFAACD653403C5002F62CDB27402F26474BAFD653405958CBF852DB27402D81EF91A8D653408802C7AF69DB27400316AF68A9D65340FB20CB8289DB27407E2B233FACD653408404D6BB89DB2740A1FE6959ADD6534067C3503D88DB2740489C5FDEADD65340FD18CE9085DB2740CA32C4B1AED653408F8939AD80DB274047681547AFD653407248B42E7FDB27403B44920FB0D653404A1D2E837BDB2740EDD1C034B1D6534016E8C9EB77DB2740F87CDE9EB1D65340F9EEFBDC75DB27401665DB0EB2D65340FBE6FEEA71DB274011F05AF8B0D65340ED37C9456BDB2740,0101000020E6100000FB46E0E5AAD65340D170D1C221DB2740,2.612,,,,true,2026-07-01 04:57:14.693992+00,2026-07-01 04:57:14.958568+00,true
05147eef-c14e-41ff-a075-847d764e1323,8000795773,SMD-AVOOR-VELANANTHAL-SELLANKUPPAM,SMD-AVOOR-VELANANTHAL,SMD-AVOOR,SMD,0103000020E6100000010000000800000085460B2B70C95340C4F418405346284019A1E93672C9534036AE7FD767462840952FC3DA73C9534028113C19774628402F47D96C76C953408789062978462840B928C46D7EC95340A593B60254462840CB4E9A617EC95340B45BCB643846284055F0259E7DC95340045031732646284085460B2B70C95340C4F4184053462840,0101000020E61000000791EB1478C953405AB38B4252462840,0.888,,,,true,2026-07-01 04:56:07.488171+00,2026-07-01 04:56:07.901774+00,true
05716c47-260a-41dc-8fc2-f0032801fd13,8000797633,MDP-TINDIVANAM-PALAPATTU-NEDIMOZHIYAN,MDP-TINDIVANAM-PALAPATTU,MDP-TINDIVANAM,MDP,0103000020E6100000010000000E0000008B203D1FF3E35340719E53FB55442840CBBBEA01F3E353404A02791B40442840B1F221F4E8E353407812E41E3B4428409685A7D1E8E35340B063348C434428407DC0F5D5E3E35340F94D0BEA40442840B69AEA1AE4E35340E76B7B75104428405DC08BF1E7E35340C47C50FC104428409557F844E8E353401150864FDF4328402950D54EDEE3534011EBE813D4432840D757B2BEDCE3534052DA7635D44328402F60DAC3DCE35340E6BEA41713442840839270C6DDE35340D111C9341F4428404AB87B81DDE35340CC9284F94B4428408B203D1FF3E35340719E53FB55442840,0101000020E610000071124501E4E35340AECDCC7718442840,1.825,,,,true,2026-07-01 04:58:05.527247+00,2026-07-01 04:58:05.753532+00,true
05e7a7ce-67a4-4390-8a42-9373dcf40279,8000796531,MDP-MUNDIYAMPAKK-VIKKIRAVANDI-MELAKONDAI,MDP-MUNDIYAMPAKK-VIKKIRAVANDI,MDP-MUNDIYAMPAKK,MDP,0103000020E6100000010000000C000000EF045669E6E15340A8FFACF9F12328402E104E55EBE15340E59997C3EE23284004464DAAECE15340642310AFEB23284075E4EDADEDE153406AB86D84EA23284087AE9F59EDE153409DBEF968CC232840D3C3A588E5E15340751D4EB2D42328400836ED2EE5E15340404BC499C22328406DD06D8DE4E1534091D886B2C3232840781A7C7BE4E153409039EDBAB8232840A8819D4BDFE153400DCCAFD3B92328405DD4F065E1E1534035423C3EF7232840EF045669E6E15340A8FFACF9F1232840,0101000020E610000059B78AD6E5E15340E2EF8DA2DA232840,0.759,,,,true,2026-07-01 04:57:04.959106+00,2026-07-01 04:57:05.295835+00,true
065cf779-881b-4f85-a4fc-d6abffe5036a,8000799466,SMD-SEMMEDU-NALLANPILLAI-KANJUR,SMD-SEMMEDU-NALLANPILLAI,SMD-SEMMEDU,SMD,0103000020E6100000010000000A0000000FE6412D6CCE5340F56D5D606A562840A8305B5771CE5340351E11F868562840890EDCDC73CE534031410DDFC2562840CF108E5976CE53404B4DCCC4BE5628401D69BAE875CE53407D5E4C8E96562840F41ABB4475CE534042B85DC36756284087E52A7178CE5340CCBB45BB65562840C34BCBA376CE5340230736F80C562840EF78BF2E6ACE5340B3CD59C1075628400FE6412D6CCE5340F56D5D606A562840,0101000020E610000011278FD671CE534077ADF30E4B562840,2.014,,,,true,2026-07-01 04:57:27.856578+00,2026-07-01 04:57:30.62276+00,true
