id,plot_id,plot_no,obs_date,source,ndvi_mean,ndvi_min,ndvi_max,ndvi_delta,crop_age_days,crop_stage,health_status,ndvi_thr_min,ndvi_thr_max,pct_good,pct_moderate,pct_attention,px_good,px_moderate,px_attention,px_total,raster_png_url,raster_tif_url,s1_confidence,s1_gap_days,s1_rvi,valid_pixel_ratio,resolution_m,gaussian_sigma,created_at,updated_at,obs_confidence
c57918e0-4746-4c8c-adfe-884850db2ca5,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,16-11-2025,S2,0.29,,,,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:51.20548+00,2026-07-01 06:16:51.20548+00,
c2c6b09f-2480-4586-aa7e-fa1c2ff29798,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,21-11-2025,S2,0.31,,,0.02,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:51.418999+00,2026-07-01 06:16:51.418999+00,
c1cd2616-0b1a-46fe-9ddc-4c6995435205,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,26-11-2025,S2,0.28,,,-0.03,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:51.628002+00,2026-07-01 06:16:51.628002+00,
e087db60-62f2-4f2e-b53a-09d1b85bd847,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,06-12-2025,S2,0.4,,,0.12,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:51.850236+00,2026-07-07 00:31:49.568327+00,
3fff08f1-172f-4c91-83df-aae3129aa8c0,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,11-12-2025,S2,0.37,,,-0.03,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:52.216919+00,2026-07-07 00:31:49.714594+00,
b54428c2-0b40-4600-938b-4a49419cf166,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,16-12-2025,S2,0.51,,,0.14,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:52.459216+00,2026-07-07 00:31:49.859052+00,
823447df-960a-4a83-a84d-efd4d39e74b3,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,21-12-2025,S2,0.55,,,0.04,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:52.664869+00,2026-07-07 00:31:50.001336+00,
62ea4241-d622-47b9-b1b1-452b13e36a0e,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,26-12-2025,S2,0.71,,,0.16,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:52.869032+00,2026-07-07 00:31:50.141626+00,
f0b3b529-d779-4a9f-8683-b464ee26cafb,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,31-12-2025,S2,0.72,,,0.01,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:53.06834+00,2026-07-07 00:31:50.284149+00,
fae5cf54-1384-459c-a400-b91bd671c587,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,05-01-2026,S2,0.58,,,-0.14,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:53.420215+00,2026-07-07 00:31:50.423542+00,
1226d13c-4451-4438-ac3c-130fa78e2204,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,10-01-2026,S2,0.78,,,0.2,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:53.641918+00,2026-07-07 00:31:50.564054+00,
e94456fa-b934-4ac2-a4cf-1fe25b491355,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,25-01-2026,S2,0.69,,,-0.03,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:53.930537+00,2026-07-01 06:16:53.930537+00,
b9816cf7-2a60-4627-93b6-8210aa1edb78,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,04-02-2026,S2,0.6,,,-0.09,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:54.172908+00,2026-07-07 00:31:50.705986+00,
a2a162ed-c80e-43c5-931a-08c863c12990,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,09-02-2026,S2,0.46,,,-0.14,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:54.832015+00,2026-07-07 00:31:50.853486+00,
20762f44-5d4f-4ece-a4cd-e8b6c8315fa6,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,14-02-2026,S2,0.45,,,-0.01,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:55.056965+00,2026-07-07 00:31:50.995386+00,
148a3bc3-9770-483f-ac0d-5f50302c0fe3,b4ab7e02-caa7-454c-afed-a09c1d358e1f,8000784525,24-02-2026,S2,0.44,,,-0.01,,,Moderate,,,,,,,,,,,,,,,,,,2026-07-01 06:16:55.258846+00,2026-07-07 00:31:51.135448+00,
