id,plot_no,planting_date,variety_name,crop_type,plot_type,area_acres,gps_area_acres,irrigation_type,centroid,boundary
00d00abd-974f-43c6-b6b6-e8d9067f4415,8000797322,22-03-2026,CO86032,BULK,R1,1.5,1.482,FURROW,"{""type"":""Point"",""coordinates"":[79.463610069,12.104857241]}","{""type"":""Polygon"",""coordinates"":[[[79.4632931,12.1052724],[79.4638387,12.1053179],[79.4639499,12.1044314],[79.4633448,12.1044342],[79.4632931,12.1052724]]]}"
00d28814-1883-481f-b160-813ab7e21d88,8000798459,08-03-2026,OTHERS,BULK,PL,2.5,2.58,FURROW,"{""type"":""Point"",""coordinates"":[79.49701882,12.262198081]}","{""type"":""Polygon"",""coordinates"":[[[79.4967127,12.2627999],[79.4968907,12.262808],[79.4970298,12.2628022],[79.4972083,12.2627846],[79.497431,12.2627763],[79.4974181,12.2626215],[79.4974005,12.2623524],[79.4973655,12.2621753],[79.4973887,12.2620081],[79.4974328,12.2619394],[79.4973957,12.2616773],[79.4972163,12.2616855],[79.4970284,12.2616735],[79.4970062,12.2616899],[79.4970037,12.2615937],[79.4966673,12.2615821],[79.4965428,12.2616161],[79.4965693,12.2617231],[79.4966107,12.2617152],[79.4966275,12.2618086],[79.4966323,12.2619276],[79.4966518,12.262019],[79.4966558,12.2621266],[79.4966662,12.2621568],[79.4966649,12.2622147],[79.4966684,12.2624096],[79.4966829,12.2625092],[79.4967045,12.2626301],[79.4967127,12.2627999]]]}"
02606c90-f6d7-47ae-a85f-021ee87b2566,8000793980,22-02-2026,CO11015,BULK,R1,1,0.788,FURROW,"{""type"":""Point"",""coordinates"":[79.390239651,12.33898327]}","{""type"":""Polygon"",""coordinates"":[[[79.3903365,12.338887],[79.3903062,12.3388644],[79.3903664,12.3388195],[79.3903018,12.3385627],[79.3900579,12.3385847],[79.3900565,12.3392323],[79.3900127,12.3393188],[79.3900917,12.3393807],[79.3901999,12.3393061],[79.3901631,12.3391995],[79.3902385,12.3391777],[79.3902567,12.33932],[79.3904421,12.3393291],[79.3904655,12.3391834],[79.3905069,12.3391547],[79.3904462,12.3388906],[79.3904078,12.3388769],[79.3903365,12.338887]]]}"
02d2e5c7-aa4b-4edd-b94b-71167a307ee7,8000789965,24-01-2026,SI 309,BULK,PL,2.75,2.769,FURROW,"{""type"":""Point"",""coordinates"":[79.162222925,12.248499664]}","{""type"":""Polygon"",""coordinates"":[[[79.1618439,12.2480791],[79.1615484,12.2481249],[79.1615752,12.2485457],[79.1618601,12.2485793],[79.1618898,12.2489573],[79.1622985,12.2489487],[79.1623297,12.2491631],[79.1625315,12.2491327],[79.1626017,12.2491005],[79.162558,12.2486104],[79.162867,12.2485966],[79.1628256,12.2481808],[79.1627009,12.2481715],[79.1626836,12.2480967],[79.1622018,12.2480827],[79.1618439,12.2480791]]]}"
02f9a16d-63a5-4631-afe8-d76f00caf73d,8000790905,20-01-2026,CO86032,BULK,PL,2.15,2.135,FURROW,"{""type"":""Point"",""coordinates"":[79.361539146,12.057346066]}","{""type"":""Polygon"",""coordinates"":[[[79.3619443,12.0566901],[79.3618532,12.0567118],[79.3617244,12.0566942],[79.361672,12.0566932],[79.3615353,12.0566961],[79.3614666,12.0567066],[79.3614397,12.056743],[79.3614346,12.056823],[79.3613943,12.0572145],[79.3614145,12.0572891],[79.3614056,12.0573219],[79.3611369,12.0573394],[79.3610952,12.0573534],[79.3610839,12.0574724],[79.3610941,12.0576606],[79.3611118,12.0578263],[79.3611491,12.0579513],[79.3614166,12.0579603],[79.361705,12.0579468],[79.361701,12.0576813],[79.3616942,12.057593],[79.3617054,12.0574951],[79.3616984,12.0573562],[79.3618408,12.0573421],[79.3619324,12.0573491],[79.3619739,12.0573713],[79.3619558,12.0570646],[79.361945,12.056825],[79.3619432,12.056746],[79.3619443,12.0566901]]]}"
02fc2e59-eb6c-40e7-bd61-56fc85371615,8000788518,12-01-2026,CO86032,BULK,PL,1.15,0.827,FURROW,"{""type"":""Point"",""coordinates"":[79.48233879,12.276957871]}","{""type"":""Polygon"",""coordinates"":[[[79.4825777,12.2771538],[79.4826822,12.2771275],[79.4827528,12.2770992],[79.4827218,12.2769623],[79.4827049,12.2768433],[79.482696876,12.276725201],[79.4824949,12.2767593],[79.4824173,12.27677],[79.4823518,12.2767759],[79.4823115,12.2767728],[79.4822001,12.2768014],[79.4821338,12.2767678],[79.4820983,12.2767564],[79.482055142,12.276818099],[79.482059895,12.276897062],[79.4819484,12.2769282],[79.481899,12.2769262],[79.4818441,12.2769445],[79.4818309,12.2769764],[79.4818562,12.2770099],[79.4818715,12.2770508],[79.4819155,12.2771218],[79.4820695,12.2771043],[79.4820995,12.2771496],[79.4821584,12.2771481],[79.4822106,12.2771426],[79.482347,12.2771049],[79.4824656,12.2771134],[79.4825777,12.2771538]]]}"
0351ebfd-19ea-4b00-9998-8e5c0863b958,8000799105,26-02-2026,CO86032,BULK,PL,1.6,1.584,FURROW,"{""type"":""Point"",""coordinates"":[79.306912556,12.135083082]}","{""type"":""Polygon"",""coordinates"":[[[79.307128271,12.135702689],[79.3070983,12.13557],[79.3070125,12.1356043],[79.306983,12.1355589],[79.3070029,12.1355076],[79.3070737,12.1354623],[79.3070906,12.1352571],[79.3070641,12.135142],[79.3072141,12.1351122],[79.3071789,12.1348392],[79.3071044,12.1344036],[79.3068498,12.1344553],[79.3069306,12.1346582],[79.3065782,12.1347451],[79.3066578,12.1351138],[79.3067047,12.1354277],[79.3067913,12.1357857],[79.307128271,12.135702689]]]}"
04894b90-983a-4763-a6b7-c6767b5d88ac,8000800881,19-03-2026,CO86032,BULK,R1,1.5,1.355,FURROW,"{""type"":""Point"",""coordinates"":[79.300962484,12.332599048]}","{""type"":""Polygon"",""coordinates"":[[[79.3008084,12.3321489],[79.300878,12.3326079],[79.3005757,12.3326854],[79.3006555,12.3330949],[79.3009467,12.3330424],[79.3012288,12.3329259],[79.3011841,12.3326189],[79.3012895,12.3325239],[79.3011225,12.3319897],[79.300808029,12.332122883],[79.3008084,12.3321489]]]}"
051155c8-6bf6-43f1-b156-6c3234ed6481,8000790623,07-02-2026,CO86032,BULK,R3,1.4,1.877,FURROW,"{""type"":""Point"",""coordinates"":[79.47041369,12.290262077]}","{""type"":""Polygon"",""coordinates"":[[[79.4700309,12.2898168],[79.47004,12.2899267],[79.4700914,12.2902044],[79.4701172,12.2903803],[79.4702139,12.2908194],[79.470329,12.2907949],[79.470601485,12.290729802],[79.470838214,12.29068532],[79.4707669,12.2903758],[79.47064701,12.289835725],[79.4705383,12.2897883],[79.4704053,12.2897643],[79.4703967,12.2896883],[79.4702876,12.2897111],[79.4700309,12.2898168]]]}"
05fb05d6-8e51-48d8-a6e5-ae12a0354c1e,8000798749,29-03-2026,CO86032,BULK,R1,1.35,0.461,DRIP,"{""type"":""Point"",""coordinates"":[79.409516369,12.272605393]}","{""type"":""Polygon"",""coordinates"":[[[79.4092223,12.2727345],[79.4098437,12.2727379],[79.4097575,12.2724509],[79.409509417,12.272480715],[79.409228043,12.272459957],[79.4092223,12.2727345]]]}"
0625d852-1ec3-418e-84aa-ac27fc570ac8,8000793521,04-02-2026,CO11015,BULK,R3,1,0.926,FURROW,"{""type"":""Point"",""coordinates"":[79.213839929,12.157083682]}","{""type"":""Polygon"",""coordinates"":[[[79.2142148,12.1572001],[79.2140962,12.1567608],[79.2134721,12.1569416],[79.2135948,12.1574245],[79.2142148,12.1572001]]]}"
06948885-251b-482a-8ef6-fc186e4845e2,8000794353,25-01-2026,CO86032,BULK,PL,2,1.775,FURROW,"{""type"":""Point"",""coordinates"":[79.595008576,12.241626893]}","{""type"":""Polygon"",""coordinates"":[[[79.5957748,12.2419306],[79.5956645,12.2414324],[79.5950961,12.2415916],[79.5950001,12.2412227],[79.5942308,12.2414378],[79.5942949,12.2415693],[79.5942072,12.2416167],[79.5942897,12.2418468],[79.5951659,12.2415894],[79.5952618,12.2420488],[79.5957748,12.2419306]]]}"
07d9dec8-b068-4c51-b48d-1597bb4ad0fe,8000794485,04-03-2026,CO86032,BULK,R1,0.95,0.953,FURROW,"{""type"":""Point"",""coordinates"":[79.491919757,12.065137158]}","{""type"":""Polygon"",""coordinates"":[[[79.4917495,12.0655873],[79.4921434,12.0655157],[79.4920956,12.0647594],[79.4918866,12.06475],[79.4918644,12.0646603],[79.4917112,12.0646798],[79.4917393,12.0651371],[79.4917495,12.0655873]]]}"
